code_circonscription,circonscription,departement,arrondissement,pcodes_communes,communes,candidats,pv_inclus_1er_tour,pv_attendus_1er_tour,second_tour,premier_tour_annule_puis_repris,depute_elu,parti_du_depute_elu,notes_de_la_source,source,licence,source_id
97,LES CAYES/ILE-A-VACHE,SUD,CAYES,HT0711;HT0716,Les Cayes;Île à Vache,25,243,263,2015-10,non,ROBAS CLAUVY,OPL,,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
98,TORBECK/CHANTAL,SUD,CAYES,HT0712;HT0713,Torbeck;Chantal,22,114,128,2015-10,non,CHARLES HERVE,P.H.T.K,,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
99,CAMP-PERRIN/MANICHE,SUD,CAYES,HT0714;HT0715,Camp-Perrin;Maniche,12,78,96,2016-11,oui,AUGUSTIN BERTIN,VERITE,Appears that #2 candidate was   disqualified by the CEP after the annulled second round held on 10/25/15 and was replaced by the #3 candidate in the new second runoff held in 2016. ; Appears that #2 candidate was   disqualified by the CEP after the annulled second round held on 10/25/15 and was replaced by the #3 candidate in the new second runoff held in 2016. ; Second round election held on 10/25/15 was annulled and a new election held. ; Appears that #2 candidate was   disqualified by the CEP after the annulled second round held on 10/25/15 and was replaced by the #3 candidate in the new second runoff held in 2016. ; Second round election held on 10/25/15 was annulled and a new election held. Appears that this candidate was in race after coming in third in first round. The original second place candidate appeared in the 10/25/15 runoff that was annulled.,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
100,PORT-SALUT,SUD,PORT-SALUT,HT0721,Port-Salut,7,36,44,2015-10,non,SINAL BERTRAND,FANMI LAVALAS,,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
101,SAINT JEAN DU SUD/ARNIQUET,SUD,PORT-SALUT,HT0722;HT0723,Saint Jean du Sud;Arniquet,13,57,61,2015-10,non,LAGUERRE JOSEPH BENOIT,P.H.T.K,,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
102,AQUIN,SUD,AQUIN,HT0731,Aquin,14,95,115,2015-10,non,BOSSE JEAN-ROBERT,OPL,,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
103,CAVAILLON,SUD,AQUIN,HT0733,Cavaillon,16,58,73,2015-10,non,DELIA DELINOIS,VERITE,,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
104,SAINT-LOUIS-DU-SUD,SUD,AQUIN,HT0732,Saint Louis du Sud,24,71,90,2015-10,non,DORFEUILLE GANDHY,P.H.T.K,,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
105,CHARDONNIERES/LES ANGLAIS,SUD,CHARDONNIÈRES,HT0751;HT0752,Chardonnières;Les Anglais,15,66,73,2015-10,non,CHARLES JEAN GALVY,P.H.T.K,,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
106,TIBURON,SUD,CHARDONNIÈRES,HT0753,Tiburon,9,28,33,2015-10,non,BELISAIRE JEAN PHILIPPE,P.H.T.K,,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
107,COTEAUX,SUD,CÔTEAUX,HT0741,Côteaux,5,21,27,2015-10,non,DORISMOND BEONARD,VERITE,,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
108,ROCHE-A-BATEAU,SUD,CÔTEAUX,HT0743,Roche à Bâteau,7,24,28,2015-10,non,OSTIN PIERRE-LOUIS,P.H.T.K,,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
109,PORT-A-PIMENT,SUD,CÔTEAUX,HT0742,Port-à-Piment,7,25,26,2016-11,non,LETANG DANIEL,KID,,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
110,JACMEL,SUD EST,JACMEL,HT0211,Jacmel,24,219,229,2015-10,non,JEAN-PHILIPPE KETEL,OPL,,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
111,LA VALLEE DE JACMEL,SUD EST,JACMEL,HT0214,La Vallée,15,38,40,2015-10,non,AMBROISE NESTOR,BOUCLIER,"Definitive results had only 37 of 40  procès-verbaux included. 931 votes. Candidate appears to have come in second in final results despite trailing narrowly in these preliminary results. ; Definitive results had only 37 of 40  procès-verbaux included. 931 votes. Candidate appears to have lost in final results despite leading narrowly in these preliminary results, but results for only top two reported in definitive results. ; Definitive results had only 37 of 40  procès-verbaux included. 997 votes.","Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
112,CAYES JACMEL,SUD EST,JACMEL,HT0213,Cayes-Jacmel,11,51,57,2015-10,non,MERCREDY JEAN BENISSOIT,LAPEH,,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
113,MARIGOT,SUD EST,JACMEL,HT0212,Marigot,14,81,84,2016-11,oui,DERONNETH DEUS,PONT,,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
114,BAINET,SUD EST,BAINET,HT0221,Bainet,9,99,101,2015-10,non,CABE SONY,KID,,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
115,COTE-DE-FER,SUD EST,BAINET,HT0222,Côtes de Fer,8,60,67,2016-11,non,DEVIL ROUDY,OPL,Second round was supposed to be held in October and was either annulled or delayed.,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
116,BELLE-ANSE,SUD EST,BELLE-ANSE,HT0231,Belle-Anse,11,66,82,2015-10,non,MATHIEU VILMA,AAA,,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
117,THIOTTE,SUD EST,BELLE-ANSE,HT0233,Thiotte,8,37,46,2015-10,non,GARNIER VIKERSON,FANMI LAVALAS,,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
118,GRAND-GOSIER,SUD EST,BELLE-ANSE,HT0232,Grand Gosier,11,17,21,2015-10,non,VIL PAUL HERMANN,P.H.T.K,,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
119,ANSE-A-PITRE,SUD EST,BELLE-ANSE,HT0234,Anse-à-Pître,7,37,40,2015-10,non,PIERRE BEL-ANGE,FUSION,,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
