indicateur_id,langue,champ,valeur
IND-GEO-001,ht,nom,Sipèfisi
IND-GEO-001,ht,definition,Sipèfisi antite teritoryal la.
IND-GEO-001,ht,methode_calcul,Total sipèfisi seksyon kominal yo (CNIGS).
IND-GEO-001,ht,comparabilite,Konparab toutotan dekoupaj administratif la pa chanje.
IND-GEO-001,ht,limites_connues,Total nasyonal seksyon yo (26 942 km²) diferan ak 27 750 km² yo abitye site a : se trase kòt polygòn yo.
IND-GEO-001,ht,unite,km²
IND-GEO-001,ht,sens_interpretation,Net
IND-GEO-001,en,nom,Area
IND-GEO-001,en,definition,Area of the territorial entity.
IND-GEO-001,en,methode_calcul,Sum of the areas of the communal sections (CNIGS).
IND-GEO-001,en,comparabilite,Comparable as long as the administrative division does not change.
IND-GEO-001,en,limites_connues,"The national total of the sections (26,942 km²) differs from the usual 27,750 km²: coastal tracing of the polygons."
IND-GEO-001,en,unite,km²
IND-GEO-001,en,sens_interpretation,Neutral
IND-GEO-001,es,nom,Superficie
IND-GEO-001,es,definition,Superficie de la entidad territorial.
IND-GEO-001,es,methode_calcul,Suma de las superficies de las secciones comunales (CNIGS).
IND-GEO-001,es,comparabilite,Comparable mientras la división administrativa no cambie.
IND-GEO-001,es,limites_connues,El total nacional de las secciones (26 942 km²) difiere de los 27 750 km² habituales: trazado costero de los polígonos.
IND-GEO-001,es,unite,km²
IND-GEO-001,es,sens_interpretation,Neutro
IND-GEO-002,ht,nom,Kantite seksyon kominal
IND-GEO-002,ht,definition,Kantite seksyon kominal ki fòme komin nan.
IND-GEO-002,ht,methode_calcul,Konte nan baz referans teritwa a.
IND-GEO-002,ht,comparabilite,Konparab ant komin.
IND-GEO-002,ht,limites_connues,Dekoupaj 2018 la.
IND-GEO-002,ht,unite,kantite
IND-GEO-002,ht,sens_interpretation,Net
IND-GEO-002,en,nom,Number of communal sections
IND-GEO-002,en,definition,Number of communal sections making up the commune.
IND-GEO-002,en,methode_calcul,Count in the territory referential.
IND-GEO-002,en,comparabilite,Comparable between communes.
IND-GEO-002,en,limites_connues,2018 division.
IND-GEO-002,en,unite,count
IND-GEO-002,en,sens_interpretation,Neutral
IND-GEO-002,es,nom,Número de secciones comunales
IND-GEO-002,es,definition,Número de secciones comunales que componen la comuna.
IND-GEO-002,es,methode_calcul,Recuento en el referencial territorio.
IND-GEO-002,es,comparabilite,Comparable entre comunas.
IND-GEO-002,es,limites_connues,División de 2018.
IND-GEO-002,es,unite,número
IND-GEO-002,es,sens_interpretation,Neutro
IND-GEO-003,ht,nom,Kantite lokalite ki resanse
IND-GEO-003,ht,definition,Kantite kote moun rete yo resanse nan komin nan.
IND-GEO-003,ht,methode_calcul,Konte lokalite GeoNames yo rache ak komin nan pa metòd pwen-nan-polygòn.
IND-GEO-003,ht,comparabilite,"Fè atansyon : li reflete efò resansman GeoNames la, se pa sèlman reyalite kote moun rete."
IND-GEO-003,ht,limites_connues,"Ti lokalite ka manke ; 1,3 % nan pwen yo rache pa pwoksimite."
IND-GEO-003,ht,unite,kantite
IND-GEO-003,ht,sens_interpretation,Yon valè ki wo pa yon merit : li vle di tou dokimantasyon an pi konplè.
IND-GEO-003,en,nom,Recorded localities
IND-GEO-003,en,definition,Number of inhabited places recorded in the commune.
IND-GEO-003,en,methode_calcul,Count of GeoNames localities attached to the commune by point-in-polygon.
IND-GEO-003,en,comparabilite,"Caution: reflects the recording effort of GeoNames, not settlement reality alone."
IND-GEO-003,en,limites_connues,Small localities may be missing; 1.3 % of points are attached by proximity.
IND-GEO-003,en,unite,count
IND-GEO-003,en,sens_interpretation,A high value is not a merit: it also reflects better documentary coverage.
IND-GEO-003,es,nom,Localidades registradas
IND-GEO-003,es,definition,Número de lugares habitados registrados en la comuna.
IND-GEO-003,es,methode_calcul,Recuento de localidades GeoNames vinculadas a la comuna mediante punto-en-polígono.
IND-GEO-003,es,comparabilite,"Precaución: refleja el esfuerzo de registro de GeoNames, no solo la realidad del poblamiento."
IND-GEO-003,es,limites_connues,"Pueden faltar pequeñas localidades; el 1,3 % de los puntos se vinculan por proximidad."
IND-GEO-003,es,unite,número
IND-GEO-003,es,sens_interpretation,Un valor alto no es un mérito: refleja también una mejor cobertura documental.
IND-GEO-004,ht,nom,Dansite lokalite
